instance,status,pool_best_total,tensor_total,improvement_abs,improvement_pct,feasible,pool_time,pool_room,pool_distribution,tensor_time,tensor_room,tensor_distribution,model_seconds,tensor_seconds,total_seconds,steps,probes,gradient_improvements,config,xml_path,log_path
agh-ggis-spr17,ok,16514.0,16514.0,0.0,+0.00,True,238.0,322.0,1016.0,238.0,322.0,1016.0,697.4,625.05,1322.4499999999998,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\agh-ggis-spr17_tensor_search.xml,E:\Desktop\test\output\output_agh-ggis-spr17.log
lums-spr18,ok,95.0,95.0,0.0,+0.00,True,0.0,25.0,14.0,0.0,25.0,14.0,7992.1,342.20,8334.300000000001,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\lums-spr18_tensor_search.xml,E:\Desktop\test\output\output_lums-spr18.log
mary-fal18,ok,1871.0,1871.0,0.0,+0.00,True,229.0,333.0,216.0,229.0,333.0,216.0,789.2,294.86,1084.06,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\mary-fal18_tensor_search.xml,E:\Desktop\test\output\output_mary-fal18.log
mary-spr17,ok,14473.0,14473.0,0.0,+0.00,True,793.0,52.0,2567.0,793.0,52.0,2567.0,721.2,296.50,1017.7,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\mary-spr17_tensor_search.xml,E:\Desktop\test\output\output_mary-spr17.log
muni-fi-fal17,ok,273.0,273.0,0.0,+0.00,True,22.0,127.0,8.0,22.0,127.0,8.0,58.6,137.96,196.56,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\muni-fi-fal17_tensor_search.xml,E:\Desktop\test\output\output_muni-fi-fal17.log
muni-fi-spr16,ok,372.0,372.0,0.0,+0.00,True,60.0,162.0,3.0,60.0,162.0,3.0,77.2,186.22,263.42,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\muni-fi-spr16_tensor_search.xml,E:\Desktop\test\output\output_muni-fi-spr16.log
muni-fi-spr17,ok,208.0,208.0,0.0,+0.00,True,10.0,108.0,7.0,10.0,108.0,7.0,88.2,171.18,259.38,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\muni-fi-spr17_tensor_search.xml,E:\Desktop\test\output\output_muni-fi-spr17.log
muni-fsps-spr17,ok,368.0,368.0,0.0,+0.00,True,0.0,68.0,20.0,0.0,68.0,20.0,33.2,172.68,205.88,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\muni-fsps-spr17_tensor_search.xml,E:\Desktop\test\output\output_muni-fsps-spr17.log
muni-fsps-spr17c,ok,10772.0,10247.0,525.0,+4.87,True,285.0,1187.0,164.0,264.0,1187.0,164.0,4755.0,356.49,5111.49,500,401,3,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\muni-fsps-spr17c_tensor_search.xml,E:\Desktop\test\output\output_muni-fsps-spr17c.log
nbi-spr18,ok,13721.0,13721.0,0.0,+0.00,True,5300.0,3081.0,5.0,5300.0,3081.0,5.0,395.4,243.80,639.2,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\nbi-spr18_tensor_search.xml,E:\Desktop\test\output\output_nbi-spr18.log
pu-d5-spr17,ok,14631.0,14631.0,0.0,+0.00,True,1231.0,90.0,678.0,1231.0,90.0,678.0,91.4,294.07,385.47,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\pu-d5-spr17_tensor_search.xml,E:\Desktop\test\output\output_pu-d5-spr17.log
pu-llr-spr17,ok,3561.0,3561.0,0.0,+0.00,True,497.0,1414.0,41.0,497.0,1414.0,41.0,366.0,304.30,670.3,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\pu-llr-spr17_tensor_search.xml,E:\Desktop\test\output\output_pu-llr-spr17.log
tg-fal17,ok,4215.0,4215.0,0.0,+0.00,True,1792.0,31.0,30.0,1792.0,31.0,30.0,153.9,208.24,362.14,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\tg-fal17_tensor_search.xml,E:\Desktop\test\output\output_tg-fal17.log
tg-spr18,ok,14128.0,14128.0,0.0,+0.00,True,1014.0,140.0,598.0,1014.0,140.0,598.0,203.7,198.39,402.09,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\tg-spr18_tensor_search.xml,E:\Desktop\test\output\output_tg-spr18.log
yach-fal17,ok,314.0,314.0,0.0,+0.00,True,0.0,284.0,3.0,0.0,284.0,3.0,374.6,150.29,524.89,500,401,0,steps=500  lr=0.05  temperature=1.0  eval_every=10  sample_count=2  hard_surrogate=none,E:\Desktop\test\output\xml\yach-fal17_tensor_search.xml,E:\Desktop\test\output\output_yach-fal17.log
